"","WoodName","ManUnit","Region","SiteManager","Hectares","Cpt","SubCpt","Area_ha","Management.Regime","Main.Species","Secondary.Species","Year","Ha_band","WoodAge"
"284","Young People's Forest at Mead",5707,"North","Chris Williams",161.29,26,"a",2.93,"Wood establishment","Oak (sessile)","Birch (downy/silver)",2016,"0-5",10
"285","Swindells' Wood",5717,"North","Colin Riley",13.29,1,"e",2.8,"Wood establishment","Oak (sessile)","Silver birch",2020,"0-5",6
"286","Swindells' Wood",5717,"North","Colin Riley",13.29,1,"d",2.42,"Wood establishment","Oak (sessile)","Silver birch",2020,"0-5",6
"287","Swindells' Wood",5717,"North","Colin Riley",13.29,2,"c",4.07,"Wood establishment","Silver birch","Aspen",2020,"0-5",6
"288","Murieston Woods",4892,"Scotland","Hannah Patterson",3.4,43,"b",0.59,"Wood establishment","Mixed broadleaves","Grey willow",2005,"0-5",21
"289","Snaizeholme",5822,"North","Alec Pue",224.25,1,"a",32.11,"Wood establishment","Common alder","Aspen",2023,"26-50",3
"290","Yonder Oak Wood",5240,"South West","Sam Hamer",17.44,1,"a",14.17,"Wood establishment","Oak (pedunculate)","Field maple",2023,"6-25",3
"291","Thompson Wood",5720,"Central","Tom Bolderstone",112.55,1,"a",7.07,"Wood establishment","NULL","NULL",2024,"6-25",2
"292","Thompson Wood",5720,"Central","Tom Bolderstone",112.55,1,"a",2.81,"Wood establishment","NULL","NULL",2024,"0-5",2
"293","Thompson Wood",5720,"Central","Tom Bolderstone",112.55,1,"b",4.6,"Wood establishment","NULL","NULL",2024,"0-5",2
"294","Thompson Wood",5720,"Central","Tom Bolderstone",112.55,1,"c",3.34,"Wood establishment","NULL","NULL",2024,"0-5",2
"295","Thompson Wood",5720,"Central","Tom Bolderstone",112.55,1,"a",0.74,"Wood establishment","NULL","NULL",2024,"0-5",2
"296","Gillian's Wood",5835,"South West","Richard Brown",56.53,4,"a",1.01,"Wood establishment","Oak (pedunculate)","Sweet chestnut",2020,"0-5",6
"297","Gillian's Wood",5835,"South West","Richard Brown",56.53,4,"b",0.88,"Wood establishment","Oak (pedunculate)","Sweet chestnut",2020,"0-5",6
"298","Gillian's Wood",5835,"South West","Richard Brown",56.53,4,"c",0.7,"Wood establishment","Oak (pedunculate)","Sweet chestnut",2020,"0-5",6
"299","Gillian's Wood",5835,"South West","Richard Brown",56.53,4,"d",0.92,"Wood establishment","Oak (pedunculate)","Sweet chestnut",2020,"0-5",6
"300","Frodsham Woods",3242,"North","Neil Oxley",38.18,1,"a",32.7,"Wood establishment","Oak (sessile)","Birch (downy/silver)",2023,"26-50",3
"301","New Copse",5831,"South East","James Stevenson",61.4,2,"g",1.1,"Wood establishment","Birch (downy/silver)","Pedunculate/common oak",2008,"0-5",18
